🍎,Apple
🍌,Banana
🍇,Grapes
🍉,Watermelon
🍓,Strawberry
🍒,Cherry
🍑,Peach
🍍,Pineapple
🥭,Mango
🍈,Melon
🍋,Lemon
🍊,Orange
🥝,Kiwi
🍐,Pear
🥥,Coconut
🍅,Tomato
🥑,Avocado
🌽,Corn
🥕,Carrot
🥔,Potato
🥦,Broccoli
🥬,Lettuce
🥒,Cucumber
🍆,Eggplant
🍄,Mushroom
🧄,Garlic
🧅,Onion
🥚,Egg
🧀,Cheese
🥖,Baguette
🍞,Bread
🥨,Pretzel
🥯,Bagel
🥞,Pancakes
🧇,Waffle
🥓,Bacon
🥩,Steak
🍗,Chicken
🍖,Meat
🍔,Hamburger
🍟,Fries
🍕,Pizza
🥪,Sandwich
🌮,Taco
🌯,Burrito
🥗,Salad
🍝,Spaghetti
🍜,Noodles
🍲,Stew
🍛,Curry
🍣,Sushi
🍤,Shrimp
🍚,Rice
🍱,Bento
🥟,Dumpling
🍢,Kebab
🍡,Dango
🥧,Pie
🧁,Cupcake
🍰,Cake
🍮,Custard
🍭,Lollipop
🍬,Candy
🍫,Chocolate
🍿,Popcorn
🥜,Peanuts
🥛,Milk
🧃,Juice
🧉,Mate
🍵,Tea
☕,Coffee
🥤,Soda
🧊,Ice
🍺,Beer
🍷,Wine
🍶,Sake
🪑,Chair
🛏️,Bed
🖥️,Computer
📱,Phone
🖊️,Pen
📚,Book
🕰️,Clock
🔑,Key
🧦,Socks
👟,Shoe
🧢,Cap
👜,Bag
🧸,Toy
🧻,Toilet
🪥,Toothbrush
🧼,Soap
🪒,Razor
🧴,Lotion
🧽,Sponge
🪣,Bucket
🧹,Broom
🪜,Ladder
🧯,Fire
🪠,Plunger
🧊,Ice
🪤,Mousetrap
🧲,Magnet
🪡,Needle
🧵,Thread
🧶,Yarn
🪢,Knot
🧳,Luggage
🪃,Boomerang
🧰,Toolbox
🪛,Screwdriver
🪚,Saw
🪓,Axe
🧱,Brick
🪞,Mirror
🪟,Window
🪑,Chair
🧺,Basket
🧂,Salt
🧃,Juice
🧸,Toy
🧦,Socks
🧢,Cap
🧤,Gloves
🧣,Scarf
🧥,Coat
🐵,Monkey
🦍,Gorilla
🦧,Orangutan
🐶,Dog
🐺,Wolf
🦊,Fox
🦝,Raccoon
🐱,Cat
🦁,Lion
🐯,Tiger
🐆,Leopard
🐴,Horse
🦄,Unicorn
🦓,Zebra
🦌,Deer
🐮,Cow
🐃,Buffalo
🐖,Pig
🐗,Boar
🐐,Goat
🐫,Camel
🦙,Llama
🐘,Elephant
🦣,Mammoth
🦛,Hippopotamus
🦏,Rhinoceros
🐭,Mouse
🐀,Rat
🐹,Hamster
🐰,Rabbit
🐿️,Chipmunk
🦫,Beaver
🦔,Hedgehog
🦇,Bat
🐦,Bird
🐧,Penguin
🐤,Chick
🐔,Chicken
🦆,Duck
🦅,Eagle
🦉,Owl
🦩,Flamingo
🦚,Peacock
🦜,Parrot
🐸,Frog
🐊,Crocodile
🐢,Turtle
🦎,Lizard
🐍,Snake
🐉,Dragon
🦕,Sauropod
🦖,Trex
🐳,Whale
🐬,Dolphin
🦭,Seal
🐟,Fish
🐡,Blowfish
🦈,Shark
🐙,Octopus
🐚,Shell
🐌,Snail
🐝,Bee
🐞,Ladybug
🦋,Butterfly
🦗,Cricket
